,PM2.5,PM10,NO2,SO2,NH3,CO,Ozone,SO2i,NOi,PM25i,PM10i,Ozonei,NH3i,COi,AQI,AQI_Range
3570,34.08,84.0,19.58,6.7,39.64,0.73,12.51,8.375,24.474999999999998,56.8,105.0,12.51,9.91,36.5,105.0,Moderately Polluted
3571,51.0,99.25,20.69,7.78,42.32,0.83,8.28,9.725,25.8625,85.0,124.0625,8.28,10.58,41.5,124.0625,Moderately Polluted
3572,46.83,105.06,22.3,6.08,43.21,0.87,10.5,7.6,27.875,78.05,125.06,10.5,10.8025,43.5,125.06,Moderately Polluted
3573,25.15,56.24,16.76,9.79,41.33,0.5,10.3,12.237499999999999,20.950000000000003,41.916666666666664,70.30000000000001,10.3,10.3325,25.0,70.30000000000001,Satisfactory
3574,17.16,50.11,16.69,7.89,41.08,60.64779004169733,6.52,9.862499999999999,20.862500000000004,28.6,62.6375,6.52,10.27,556.7517061276313,556.7517061276313,Severe
3575,22.17,41.03,21.74,5.93,34.73,60.64779004169733,8.5,7.4125,27.175,36.95,51.2875,8.5,8.6825,556.7517061276313,556.7517061276313,Severe
3576,23.98,39.86,17.76,4.35,34.15,60.64779004169733,7.83,5.4375,22.200000000000003,39.96666666666667,49.825,7.83,8.5375,556.7517061276313,556.7517061276313,Severe
3577,39.76,86.35,21.48,7.53,34.9,60.64779004169733,11.95,9.4125,26.85,66.26666666666667,107.9375,11.95,8.725,556.7517061276313,556.7517061276313,Severe
3578,53.55,117.2,29.06,3.74,46.79,60.64779004169733,20.49,4.675000000000001,36.325,89.25,137.2,20.49,11.6975,556.7517061276313,556.7517061276313,Severe
3579,34.07,82.33,19.96,6.99,50.13,60.64779004169733,9.72,8.7375,24.95,56.78333333333333,102.9125,9.72,12.5325,556.7517061276313,556.7517061276313,Severe
3580,48.85,104.77,25.61,8.45,49.08,60.64779004169733,12.78,10.5625,32.0125,81.41666666666667,124.77,12.78,12.27,556.7517061276313,556.7517061276313,Severe
3581,39.32,135.43,20.6,4.64,50.84,0.61,8.9,5.8,25.75,65.53333333333333,155.43,8.9,12.71,30.5,155.43,Moderately Polluted
3582,25.1,123.27,16.0,6.0,45.16,0.44,6.25,7.5,20.0,41.833333333333336,143.26999999999998,6.25,11.29,22.0,143.26999999999998,Moderately Polluted
3583,23.42,109.56,24.98,8.22,35.43,0.35,5.07,10.275,31.225,39.03333333333334,129.56,5.07,8.8575,17.5,129.56,Moderately Polluted
3584,17.66,54.12,21.06,2.92,35.5,0.56,12.31,3.65,26.325,29.433333333333334,67.65,12.31,8.875,28.000000000000004,67.65,Satisfactory
3585,48.91,121.24,26.69,6.12,37.8,1.17,12.25,7.65,33.3625,81.51666666666667,141.24,12.25,9.45,58.5,141.24,Moderately Polluted
3586,38.96,107.71,24.3,7.22,38.42,1.14,8.32,9.025,30.375,64.93333333333334,127.71,8.32,9.605,56.99999999999999,127.71,Moderately Polluted
3587,23.62,81.42,18.38,8.67,36.04,0.91,5.59,10.8375,22.975,39.36666666666667,101.775,5.59,9.01,45.5,101.775,Moderately Polluted
3588,20.69,70.88,16.87,3.21,39.76,0.8,5.82,4.0125,21.0875,34.483333333333334,88.6,5.82,9.94,40.0,88.6,Satisfactory
3589,24.29,92.4,17.27,4.73,30.73,0.82,6.64,5.9125000000000005,21.5875,40.483333333333334,115.5,6.64,7.6825,41.0,115.5,Moderately Polluted
